Tt           theta        dtheta/dt   
0.00000000   1.50000000   -0.00000000 
0.00500000   1.49933539   -0.03641231 
0.01000000   1.49734163   -0.07282113 
0.01500000   1.49401891   -0.10922281 
0.02000000   1.48936756   -0.14561327 
0.02500000   1.48338807   -0.18198788 
0.03000000   1.47608112   -0.21834125 
0.03500000   1.46744761   -0.25466700 
0.04000000   1.45748866   -0.29095763 
0.04500000   1.44620572   -0.32720429 
0.05000000   1.43360057   -0.36339664 
0.05500000   1.41967543   -0.39952259 
0.06000000   1.40443295   -0.43556823 
0.06500000   1.38787635   -0.47151756 
0.07000000   1.37000948   -0.50735241 
0.07500000   1.35083688   -0.54305220 
0.08000000   1.33036389   -0.57859389 
0.08500000   1.30859676   -0.61395174 
0.09000000   1.28554269   -0.64909729 
0.09500000   1.26121000   -0.68399920 
0.10000000   1.23560821   -0.71862316 
0.10500000   1.20874813   -0.75293186 
0.11000000   1.18064200   -0.78688493 
0.11500000   1.15130358   -0.82043895 
0.12000000   1.12074828   -0.85354742 
0.12500000   1.08899326   -0.88616086 
0.13000000   1.05605753   -0.91822689 
0.13500000   1.02196208   -0.94969030 
0.14000000   0.98672996   -0.98049330 
0.14500000   0.95038636   -1.01057565 
0.15000000   0.91295872   -1.03987494 
0.15500000   0.87447681   -1.06832686 
0.16000000   0.83497273   -1.09586559 
0.16500000   0.79448107   -1.12242409 
0.17000000   0.75303882   -1.14793459 
0.17500000   0.71068549   -1.17232902 
0.18000000   0.66746307   -1.19553949 
0.18500000   0.62341599   -1.21749883 
0.19000000   0.57859115   -1.23814111 
0.19500000   0.53303779   -1.25740223 
0.20000000   0.48680747   -1.27522049 
0.20500000   0.43995394   -1.29153713 
0.21000000   0.39253303   -1.30629695 
0.21500000   0.34460253   -1.31944882 
0.22000000   0.29622199   -1.33094624 
0.22500000   0.24745258   -1.34074779 
0.23000000   0.19835688   -1.34881762 
0.23500000   0.14899866   -1.35512584 
0.24000000   0.09944270   -1.35964881 
0.24500000   0.04975447   -1.36236948 
0.25000000   0.00000000   -1.36327752 
0.25500000   -0.04975447  -1.36236948 
0.26000000   -0.09944270  -1.35964881 
0.26500000   -0.14899866  -1.35512584 
0.27000000   -0.19835688  -1.34881762 
0.27500000   -0.24745258  -1.34074779 
0.28000000   -0.29622199  -1.33094624 
0.28500000   -0.34460253  -1.31944882 
0.29000000   -0.39253303  -1.30629695 
0.29500000   -0.43995394  -1.29153713 
0.30000000   -0.48680747  -1.27522049 
0.30500000   -0.53303779  -1.25740223 
0.31000000   -0.57859115  -1.23814111 
0.31500000   -0.62341599  -1.21749883 
0.32000000   -0.66746307  -1.19553949 
0.32500000   -0.71068549  -1.17232902 
0.33000000   -0.75303882  -1.14793459 
0.33500000   -0.79448107  -1.12242409 
0.34000000   -0.83497273  -1.09586559 
0.34500000   -0.87447681  -1.06832686 
0.35000000   -0.91295872  -1.03987494 
0.35500000   -0.95038636  -1.01057565 
0.36000000   -0.98672996  -0.98049330 
0.36500000   -1.02196208  -0.94969030 
0.37000000   -1.05605753  -0.91822689 
0.37500000   -1.08899326  -0.88616086 
0.38000000   -1.12074828  -0.85354742 
0.38500000   -1.15130358  -0.82043895 
0.39000000   -1.18064200  -0.78688493 
0.39500000   -1.20874813  -0.75293186 
0.40000000   -1.23560821  -0.71862316 
0.40500000   -1.26121000  -0.68399920 
0.41000000   -1.28554269  -0.64909729 
0.41500000   -1.30859676  -0.61395174 
0.42000000   -1.33036389  -0.57859389 
0.42500000   -1.35083688  -0.54305220 
0.43000000   -1.37000948  -0.50735241 
0.43500000   -1.38787635  -0.47151756 
0.44000000   -1.40443295  -0.43556823 
0.44500000   -1.41967543  -0.39952259 
0.45000000   -1.43360057  -0.36339664 
0.45500000   -1.44620572  -0.32720429 
0.46000000   -1.45748866  -0.29095763 
0.46500000   -1.46744761  -0.25466700 
0.47000000   -1.47608112  -0.21834125 
0.47500000   -1.48338807  -0.18198788 
0.48000000   -1.48936756  -0.14561327 
0.48500000   -1.49401891  -0.10922281 
0.49000000   -1.49734163  -0.07282113 
0.49500000   -1.49933539  -0.03641231 
0.50000000   -1.50000000  -0.00000000 
0.50500000   -1.49933539  0.03641231  
0.51000000   -1.49734163  0.07282113  
0.51500000   -1.49401891  0.10922281  
0.52000000   -1.48936756  0.14561327  
0.52500000   -1.48338807  0.18198788  
0.53000000   -1.47608112  0.21834125  
0.53500000   -1.46744761  0.25466700  
0.54000000   -1.45748866  0.29095763  
0.54500000   -1.44620572  0.32720429  
0.55000000   -1.43360057  0.36339664  
0.55500000   -1.41967543  0.39952259  
0.56000000   -1.40443295  0.43556823  
0.56500000   -1.38787635  0.47151756  
