  time        theta
0.00000000   2.50000000
0.16722408   2.49161658
0.33444816   2.46627935
0.50167224   2.42343064
0.66889632   2.36215353
0.83612040   2.28119691
1.00334448   2.17902349
1.17056856   2.05389539
1.33779264   1.90401591
1.50501672   1.72774926
1.67224080   1.52393559
1.83946488   1.29230212
2.00668896   1.03393376
2.17391304   0.75171016
2.34113712   0.45055778
2.50836120   0.13734894
2.67558528  -0.17964827
2.84280936  -0.49170126
3.01003344  -0.79068117
3.17725753  -1.06995405
3.34448161  -1.32487058
3.51170569  -1.55281159
3.67892977  -1.75290113
3.84615385  -1.92555727
4.01337793  -2.07202536
4.18060201  -2.19397878
4.34782609  -2.29321716
4.51505017  -2.37145833
4.68227425  -2.43020524
4.84949833  -2.47066648
5.01672241  -2.49371200
5.18394649  -2.49985032
5.35117057  -2.48921845
5.51839465  -2.46157951
5.68561873  -2.41632690
5.85284281  -2.35249715
6.02006689  -2.26879744
6.18729097  -2.16365770
6.35451505  -2.03532247
6.52173913  -1.88200189
6.68896321  -1.70210336
6.85618729  -1.49455998
7.02341137  -1.25925279
7.19063545  -0.99748370
7.35785953  -0.71239762
7.52508361  -0.40919651
7.69230769  -0.09498113
7.85953177   0.22185825
8.02675585   0.53260863
8.19397993   0.82929668
8.36120401   1.10553563
8.52842809   1.35695394
8.69565217   1.58118751
8.86287625   1.77756111
9.03010033   1.94662959
9.19732441   2.08971667
9.36454849   2.20852790
9.53177258   2.30486216
9.69899666   2.38041487
9.86622074   2.43665326
10.03344482   2.47474263
10.20066890   2.49550553
10.36789298   2.49940121
10.53511706   2.48651666
10.70234114   2.45656514
10.86956522   2.40889135
11.03678930   2.34248577
11.20401338   2.25601476
11.37123746   2.14787708
11.53846154   2.01630236
11.70568562   1.85951171
11.87290970   1.67596159
12.04013378   1.46468567
12.20735786   1.22572739
12.37458194   0.96061348
12.54180602   0.67275818
12.70903010   0.36763627
12.87625418   0.05256589
13.04347826  -0.26395818
13.21070234  -0.57326206
13.37792642  -0.86754338
13.54515050  -1.14067024
13.71237458  -1.38854854
13.87959866  -1.60906329
14.04682274  -1.80173156
14.21404682  -1.96723663
14.38127090  -2.10697363
14.54849498  -2.22267514
14.71571906  -2.31613578
14.88294314  -2.38902637
15.05016722  -2.44277715
15.21739130  -2.47850938
15.38461538  -2.49699791
15.55183946  -2.49865251
15.71906355  -2.48351013
15.88628763  -2.45123429
16.05351171  -2.40112122
16.22073579  -2.33211587
16.38795987  -2.24284479
16.55518395  -2.13167726
16.72240803  -1.99683088
16.88963211  -1.83654205
17.05685619  -1.64932242
17.22408027  -1.43431401
17.39130435  -1.19173133
17.55852843  -0.92333338
17.72575251  -0.63280710
17.89297659  -0.32589628
18.06020067  -0.01012438
18.22742475   0.30592764
18.39464883   0.61364424
18.56187291   0.90540861
18.72909699   1.17535028
18.89632107   1.41965127
19.06354515   1.63643927
19.23076923   1.82541511
19.39799331   1.98738229
19.56521739   2.12380060
19.73244147   2.23642474
19.89966555   2.32704182
20.06688963   2.39729598
20.23411371   2.44857926
20.40133779   2.48196824
20.56856187   2.49818972
20.73578595   2.49760390
20.90301003   2.48019766
21.07023411   2.44558490
21.23745819   2.39301364
21.40468227   2.32138386
21.57190635   2.22928338
21.73913043   2.11505389
21.90635452   1.97690393
22.07357860   1.81308977
22.24080268   1.62218463
22.40802676   1.40344685
22.57525084   1.15727064
22.74247492   0.88565438
22.90969900   0.59256025
23.07692308   0.28399619
23.24414716  -0.03232220
23.41137124  -0.34774647
23.57859532  -0.65373842
23.74581940  -0.94288041
23.91304348  -1.20956877
24.08026756  -1.45025956
24.24749164  -1.66331617
24.41471572  -1.84861461
24.58193980  -2.00707053
24.74916388  -2.14020192
24.91638796  -2.24978092
25.08361204  -2.33758400
25.25083612  -2.40522671
25.41806020  -2.45406179
25.58528428  -2.48512055
25.75250836  -2.49908145
25.91973244  -2.49625496
26.08695652  -2.47657796
26.25418060  -2.43961480
26.42140468  -2.38456561
26.58862876  -2.31028605
26.75585284  -2.21532635
26.92307692  -2.09800259
27.09030100  -1.95651747
27.25752508  -1.78915192
27.42474916  -1.59454733
27.59197324  -1.37208652
27.75919732  -1.12235196
27.92642140  -0.84758811
28.09364548  -0.55203409
28.26086957  -0.24195596
28.42809365   0.07475261
