time         theta        dtheta/dt   
0.00000000   2.80000000   -0.00000000 
0.16722408   2.79530592   -0.05626428 
0.33444816   2.78109995   -0.11401049 
0.50167224   2.75700891   -0.17474357 
0.66889632   2.72240465   -0.24001084 
0.83612040   2.67639586   -0.31141304 
1.00334448   2.61781923   -0.39060025 
1.17056856   2.54523322   -0.47924228 
1.33779264   2.45691993   -0.57895816 
1.50501672   2.35090376   -0.69118240 
1.67224080   2.22499953   -0.81693964 
1.83946488   2.07690833   -0.95649569 
2.00668896   1.90438375   -1.10886207 
2.17391304   1.70549268   -1.27116712 
2.34113712   1.47898684   -1.43798672 
2.50836120   1.22477480   -1.60086238 
2.67558528   0.94443342   -1.74838459 
2.84280936   0.64162766   -1.86726806 
3.01003344   0.32225121   -1.94460649 
3.17725753   -0.00588491  -1.97089067 
3.34448161   -0.33385830  -1.94268237 
3.51170569   -0.65276790  -1.86366735 
3.67892977   -0.95485995  -1.74352827 
3.84615385   -1.23431804  -1.59523494 
4.01337793   -1.48755646  -1.43203779 
4.18060201   -1.71306618  -1.26525250 
4.34782609   -1.91098883  -1.10322597 
4.51505017   -2.08260476  -0.95128081 
4.68227425   -2.22986400  -0.81220968 
4.84949833   -2.35501871  -0.68694607 
5.01672241   -2.46036610  -0.57518946 
5.18394649   -2.54808516  -0.47589537 
5.35117057   -2.62014291  -0.38761946 
5.51839465   -2.67824756  -0.30873905 
5.68561873   -2.72383070  -0.23758410 
5.85284281   -2.75804576  -0.17250599 
6.02006689   -2.78177452  -0.11190592 
6.18729097   -2.79563587  -0.05423834 
6.35451505   -2.79999403  0.00200050  
6.52173913   -2.79496387  0.05829211  
6.68896321   -2.78041281  0.11611887  
6.85618729   -2.75595868  0.17698694  
7.02341137   -2.72096408  0.24244540  
7.19063545   -2.67452815  0.31409696  
7.35785953   -2.61547771  0.39359310  
7.52508361   -2.54236124  0.48260334  
7.69230769   -2.45345121  0.58274285  
7.85953177   -2.34676346  0.69543606  
8.02675585   -2.22010676  0.82168733  
8.19397993   -2.07118072  0.96172710  
8.36120401   -1.89774498  1.11451112  
8.52842809   -1.69788384  1.27708782  
8.69565217   -1.47038171  1.44393095  
8.86287625   -1.21519801  1.60647045  
9.03010033   -0.93397799  1.75320436  
9.19732441   -0.63046608  1.87081542  
9.36454849   -0.31063281  1.94646483  
9.53177258   0.01765451   1.97082039  
9.69899666   0.34545372   1.94069279  
9.86622074   0.66388647   1.86001384  
10.03344482  0.96525737   1.73863603  
10.20066890  1.24382763   1.58958872  
10.36789298  1.49609054   1.42608461  
10.53511706  1.72060438   1.25934428  
10.70234114  1.91756028   1.09760300  
10.86956522  2.08827010   0.94608255  
11.03678930  2.23470028   0.80749746  
11.20401338  2.35910841   0.68272705  
11.37123746  2.46378980   0.57143669  
11.53846154  2.55091715   0.47256253  
11.70568562  2.62244883   0.38465066  
11.87290970  2.68008333   0.30607490  
12.04013378  2.72524227   0.23516511  
12.20735786  2.75906927   0.17027411  
12.37458194  2.78243652   0.10980508  
12.54180602  2.79595373   0.05221422  
12.70903010  2.79997611   -0.00400106 
12.87625418  2.79460970   -0.06032190 
13.04347826  2.77971307   -0.11823113 
13.21070234  2.75489504   -0.17923615 
13.37792642  2.71950896   -0.24488786 
13.54515050  2.67264438   -0.31679088 
13.71237458  2.61311828   -0.39659808 
13.87959866  2.53946916   -0.48597860 
14.04682274  2.44995985   -0.58654360 
14.21404682  2.34259770   -0.69970709 
14.38127090  2.21518558   -0.82645274 
14.54849498  2.06542181   -0.96697496 
14.71571906  1.89107244   -1.12017293 
14.88294314  1.69023963   -1.28301430 
15.05016722  1.46174110   -1.44987001 
15.21739130  1.20558778   -1.61205858 
15.38461538  0.92349390   -1.75798695 
15.55183946  0.61928347   -1.87430889 
15.71906355  0.29900352   -1.94825709 
15.88628763  -0.02942348  -1.97067983 
16.05351171  -0.35703706  -1.93863809 
16.22073579  -0.67498307  -1.85630809 
16.38795987  -0.97562547  -1.73370850 
16.55518395  -1.25330344  -1.58392429 
16.72240803  -1.50458905  -1.42012764 
16.88963211  -1.72810731  -1.25344276 
17.05685619  -1.92409820  -1.09199334 
17.22408027  -2.09390444  -0.94090098 
17.39130435  -2.23950847  -0.80280299 
17.55852843  -2.36317297  -0.67852530 
17.72575251  -2.46719115  -0.56769980 
17.89297659  -2.55372929  -0.46924369 
18.06020067  -2.62473705  -0.38169377 
18.22742475  -2.68190322  -0.30342053 
18.39464883  -2.72663943  -0.23275378 
18.56187291  -2.76007946  -0.16804786 
18.72909699  -2.78308599  -0.10770790 
18.89632107  -2.79625950  -0.05019185 
19.06354515  -2.79994624  0.00600175  
19.23076923  -2.79424341  0.06235370  
19.39799331  -2.77900070  0.12034733  
19.56521739  -2.75381794  0.18149128  
19.73244147  -2.71803922  0.24733827  
19.89966555  -2.67074450  0.31949488  
20.06688963  -2.61074087  0.39961529  
20.23411371  -2.53655688  0.48936815  
20.40133779  -2.44644573  0.59036045  
20.56856187  -2.33840639  0.70399552  
20.73578595  -2.21023589  0.83123585  
20.90301003  -2.05963151  0.97223920  
21.07023411  -1.88436605  1.12584732  
21.23745819  -1.68256001  1.28894623  
21.40468227  -1.45306504  1.45580345  
21.57190635  -1.19594425  1.61762618  
21.73913043  -0.91298136  1.76273173  
21.90635452  -0.60808017  1.87774794  
22.07357860  -0.28736372  1.94998294  
22.24080268  0.04119140   1.97046903  
22.40802676  0.36860793   1.93651862  
22.57525084  0.68605739   1.85255066  
22.74247492  0.98596404   1.72874630  
22.90969900  1.26274537   1.57824223  
23.07692308  1.51305198   1.41416732  
23.24414716  1.73557503   1.24754824  
23.41137124  1.93060265   1.08639714  
23.57859532  2.09950788   0.93573618  
23.74581940  2.24428868   0.79812626  
23.91304348  2.36721249   0.67434077  
24.08026756  2.47057022   0.56397872  
24.24749164  2.55652164   0.46593877  
24.41471572  2.62700765   0.37874871  
24.58193980  2.68370729   0.30077586  
24.74916388  2.72802221   0.23035005  
24.91638796  2.76107638   0.16582718  
25.08361204  2.78372295   0.10561432  
25.25083612  2.79655320   0.04817116  
25.41806020  2.79990442   -0.00800265 
25.58528428  2.79386497   -0.06438760 
25.75250836  2.77827568   -0.12246754 
25.91973244  2.75272736   -0.18375240 
26.08695652  2.71655483   -0.24979673 
26.25418060  2.66882844   -0.32220904 
26.42140468  2.60834541   -0.40264478 
26.58862876  2.53362431   -0.49277205 
26.75585284  2.44290878   -0.59419348 
26.92307692  2.33418942   -0.70830139 
27.09030100  2.20525758   -0.83603665 
27.25752508  2.05380973   -0.97751971 
27.42474916  1.87762573   -1.13153409 
27.59197324  1.67484495   -1.29488328 
27.75919732  1.44435356   -1.46173079 
27.92642140  1.18626752   -1.62317265 
28.09364548  0.90244059   -1.76743808 
28.26086957  0.59685649   -1.88113202 
28.42809365  0.27571381   -1.95164211 
28.59531773  -0.05295785  -1.97018801 
28.76254181  -0.38016595  -1.93433472 
28.92976589  -0.69710912  -1.84874211 
29.09698997  -0.99627288  -1.72375007 
29.26421405  -1.27215332  -1.57254310 
29.43143813  -1.52147931  -1.40820408 
29.59866221  -1.74300756  -1.24166103 
29.76588629  -1.93707373  -1.08081459 
29.93311037  -2.10508054  -0.93058820 
30.10033445  -2.24904102  -0.79346729 
30.26755853  -2.37122707  -0.67017344 
30.43478261  -2.47392712  -0.56027340 
30.60200669  -2.55929431  -0.46264770 
30.76923077  -2.62926070  -0.37581541 
30.93645485  -2.68549559  -0.29814081 
31.10367893  -2.72939066  -0.22795384 
31.27090301  -2.76206005  -0.16361198 
31.43812709  -2.78434742  -0.10352427 
31.60535117  -2.79683484  -0.04615209 
31.77257525  -2.79985066  0.01000382  
31.93979933  -2.79347438  0.06642366  
32.10702341  -2.77753798  0.12459183  
32.27424749  -2.75162326  0.18601959  
32.44147157  -2.71505573  0.25226331  
32.60869565  -2.66689614  0.32493342  
32.77591973  -2.60593181  0.40568664  
32.94314381  -2.53067137  0.49619037  
33.11036789  -2.43934889  0.59804273  
33.27759197  -2.32994668  0.71262472  
33.44481605  -2.20025056  0.84085512  
33.61204013  -2.04795636  0.98281642  
33.77926421  -1.87085142  1.13723305  
33.94648829  -1.66709442  1.30082514  
34.11371237  -1.43560671  1.46765155  
34.28093645  -1.17655775  1.62869741  
34.44816054  -0.89187184  1.77210536  
34.61538462  -0.58561277  1.88446061  
34.78260870  -0.26405420  1.95323430  
34.94983278  0.06472242   1.96983683  
35.11705686  0.39171074   1.93208677  
35.28428094  0.70813795   1.84488300  
35.45150502  1.00655178   1.71872043  
35.61872910  1.28152718   1.56682747  
35.78595318  1.52987102   1.40223837  
35.95317726  1.75040496   1.23578139  
36.12040134  1.94351151   1.07524584  
36.28762542  2.11062250   0.92545713  
36.45484950  2.25376558   0.78882607  
36.62207358  2.37521681   0.66602325  
36.78929766  2.47726194   0.55658376  
36.95652174  2.56204736   0.45937042  
37.12374582  2.63149627   0.37289379  
37.29096990  2.68726819   0.29551530  
37.45819398  2.73074482   0.22556508  
37.62541806  2.76303051   0.16140221  
37.79264214  2.78495941   0.10143768  
37.95986622  2.79710443   0.04413457  
38.12709030  2.79978494   -0.01200532 
38.29431438  2.79307163   -0.06846194 
38.46153846  2.77678759   -0.12672027 
38.62876254  2.75050561   -0.18829291 
38.79598662  2.71354188   -0.25473808 
38.96321070  2.66494754   -0.32766811 
39.13043478  2.60350002   -0.40874093 
39.29765886  2.52769798   -0.49962319 
39.46488294  2.43576596   -0.60190826 
39.63210702  2.32567807   -0.71696555 
39.79933110  2.19521470   -0.84569125 
39.96655518  2.04207132   -0.98812922 
40.13377926  1.86404304   -1.14294399 
40.30100334  1.65930839   -1.30677145 
40.46822742  1.42682452   -1.47356526 
40.63545151  1.16681504   -1.63419986 
40.80267559  0.88127534   -1.77673297 
40.96989967  0.57434934   -1.88773320 
41.13712375  0.25238527   -1.95475926 
41.30434783  -0.07648468  -1.96941555 
41.47157191  -0.40324192  -1.92977513 
41.63879599  -0.71914358  -1.84097393 
41.80602007  -1.01680054  -1.71365801 
41.97324415  -1.29086686  -1.56109590 
42.14046823  -1.53822710  -1.39627061 
42.30769231  -1.75776727  -1.22990964 
42.47491639  -1.94991607  -1.06969105 
42.64214047  -2.11613387  -0.92034302 
42.80936455  -2.25846248  -0.78420260 
42.97658863  -2.37918182  -0.66189018 
43.14381271  -2.48057477  -0.55290976 
43.31103679  -2.56478088  -0.45610684 
43.47826087  -2.63371442  -0.36998378 
43.64548495  -2.68902513  -0.29289926 
43.81270903  -2.73208473  -0.22318370 
43.97993311  -2.76398778  -0.15919778 
44.14715719  -2.78555895  -0.09935448 
44.31438127  -2.79736197  -0.04211853 
44.48160535  -2.79970727  0.01400723  
44.64882943  -2.79265669  0.07050252  
44.81605351  -2.77602448  0.12885294  
44.98327759  -2.74937435  0.19057244  
45.15050167  -2.71201322  0.25722111  
45.31772575  -2.66298258  0.33041318  
45.48494983  -2.60104994  0.41180775  
45.65217391  -2.52470404  0.50307058  
45.81939799  -2.43215989  0.60579013  
45.98662207  -2.32138349  0.72132389  
46.15384615  -2.19014992  0.85054500  
46.32107023  -2.03615450  0.99345803  
46.48829431  -1.85720052  1.14866672  
46.65551839  -1.65148684  1.31272188  
46.82274247  -1.41800703  1.47947143  
46.98996656  -1.15703954  1.63967940  
47.15719064  -0.87065131  1.78132026  
47.32441472  -0.56306653  1.89094927  
47.49163880  -0.24070745  1.95621671  
47.65886288  0.08824422   1.96892425  
47.82608696  0.41475910   1.92740020  
47.99331104  0.73012573   1.83701546  
48.16053512  1.02701898   1.70856345  
48.32775920  1.30017227   1.55534895  
48.49498328  1.54654753   1.39030124  
48.66220736  1.76509454   1.22404603  
48.82943144  1.95628751   1.06415038  
48.99665552  2.12161476   0.91524593  
49.16387960  2.26313183   0.77959688  
49.33110368  2.38312220   0.65777418  
49.49832776  2.48386571   0.54925131  
49.66555184  2.56749495   0.45285689  
49.83277592  2.63591523   0.36708530  
50.00000000  2.69076648   0.29029262  
