time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   2.90000000   -0.00000000  1.98542598   -0.01446782 
0.12500000   2.89812850   -0.02998183  1.98519959   -0.01424143 
0.25000000   2.89248559   -0.06041878  1.98450646   -0.01354830 
0.37500000   2.88298566   -0.09177156  1.98330389   -0.01234572 
0.50000000   2.86948490   -0.12451195  1.98151788   -0.01055971 
0.62500000   2.85177955   -0.15912802  1.97903881   -0.00808064 
0.75000000   2.82960357   -0.19612887  1.97571501   -0.00475684 
0.87500000   2.80262575   -0.23604863  1.97134405   -0.00038589 
1.00000000   2.77044641   -0.27944921  1.96566133   0.00529683  
1.12500000   2.73259385   -0.32692115  1.95832553   0.01263263  
1.25000000   2.68852080   -0.37908168  1.94890056   0.02205760  
1.37500000   2.63760151   -0.43656854  1.93683356   0.03412460  
1.50000000   2.57912980   -0.50002771  1.92142880   0.04952937  
1.62500000   2.51231928   -0.57009259  1.90181775   0.06914041  
1.75000000   2.43630678   -0.64735137  1.87692635   0.09403181  
1.87500000   2.35016087   -0.73229864  1.84544169   0.12551647  
2.00000000   2.25289757   -0.82526682  1.80578266   0.16517551  
2.12500000   2.14350622   -0.92633325  1.75608173   0.21487643  
2.25000000   2.02098852   -1.03520006  1.69418924   0.27676893  
2.37500000   1.88441437   -1.15104818  1.61771580   0.35324236  
2.50000000   1.73299706   -1.27237394  1.52413283   0.44682533  
2.62500000   1.56618915   -1.39682879  1.41095204   0.56000612  
2.75000000   1.38379617   -1.52109852  1.27599985   0.69495831  
2.87500000   1.18610049   -1.64087500  1.11778601   0.85317215  
3.00000000   0.97397950   -1.75098292  0.93593544   1.03502273  
3.12500000   0.74899544   -1.84571472  0.73161022   1.23934795  
3.25000000   0.51342933   -1.91938710  0.50780851   1.46314966  
3.37500000   0.27023399   -1.96706208  0.26941248   1.70154568  
3.50000000   0.02289354   -1.98529399  0.02289304   1.94806512  
3.62500000   -0.22480230  -1.97271202  -0.22432924  2.19528741  
3.75000000   -0.46903705  -1.93026534  -0.46474944  2.43570760  
3.87500000   -0.70625110  -1.86105259  -0.69166437  2.66262254  
4.00000000   -0.93338024  -1.76979042  -0.89986566  2.87082382  
4.12500000   -1.14801327  -1.66208196  -1.08600179  3.05695996  
4.25000000   -1.34845576  -1.54367830  -1.24858866  3.21954682  
4.37500000   -1.53370945  -1.41988489  -1.38774754  3.35870571  
4.50000000   -1.70339060  -1.29518499  -1.50479639  3.47575456  
4.62500000   -1.85761510  -1.17307781  -1.60181297  3.57277113  
4.75000000   -1.99687428  -1.05608292  -1.68125108  3.65220925  
4.87500000   -2.12191851  -0.94584838  -1.74564807  3.71660623  
5.00000000   -2.23365769  -0.84330703  -1.79742860  3.76838677  
5.12500000   -2.33308229  -0.74884120  -1.83879123  3.80974940  
5.25000000   -2.42120410  -0.66243294  -1.87165673  3.84261490  
5.37500000   -2.49901429  -0.58378910  -1.89765819  3.86861636  
5.50000000   -2.56745543  -0.51243920  -1.91815599  3.88911415  
5.62500000   -2.62740411  -0.44780813  -1.93426581  3.90522397  
5.75000000   -2.67966127  -0.38926796  -1.94689157  3.91784974  
5.87500000   -2.72494798  -0.33617316  -1.95675853  3.92771669  
6.00000000   -2.76390474  -0.28788335  -1.96444382  3.93540198  
6.12500000   -2.79709309  -0.24377689  -1.97040330  3.94136146  
6.25000000   -2.82499841  -0.20325805  -1.97499430  3.94595247  
6.37500000   -2.84803341  -0.16575965  -1.97849439  3.94945256  
6.50000000   -2.86654167  -0.13074259  -1.98111653  3.95207470  
6.62500000   -2.88080102  -0.09769342  -1.98302101  3.95397918  
6.75000000   -2.89102652  -0.06612054  -1.98432467  3.95528284  
6.87500000   -2.89737289  -0.03554954  -1.98510769  3.95606586  
7.00000000   -2.89993637  -0.00551807  -1.98541831  3.95637648  
7.12500000   -2.89875589  0.02442960   -1.98527568  3.95623384  
7.25000000   -2.89381353  0.05474817   -1.98467100  3.95562916  
7.37500000   -2.88503428  0.08589689   -1.98356700  3.95452517  
7.50000000   -2.87228518  0.11834510   -1.98189575  3.95285392  
7.62500000   -2.85537369  0.15257750   -1.97955461  3.95051277  
7.75000000   -2.83404546  0.18909897   -1.97640024  3.94735841  
7.87500000   -2.80798155  0.22843878   -1.97224036  3.94319853  
8.00000000   -2.77679518  0.27115358   -1.96682284  3.93778100  
8.12500000   -2.74002819  0.31782867   -1.95982174  3.93077991  
8.25000000   -2.69714751  0.36907668   -1.95082002  3.92177818  
8.37500000   -2.64754205  0.42553228   -1.93928817  3.91024634  
8.50000000   -2.59052054  0.48784119   -1.92455899  3.89551716  
8.62500000   -2.52531124  0.55664120   -1.90579823  3.87675640  
8.75000000   -2.45106468  0.63253195   -1.88197228  3.85293045  
8.87500000   -2.36686109  0.71602979   -1.85181470  3.82277286  
9.00000000   -2.27172459  0.80750329   -1.81379568  3.78475385  
9.12500000   -2.16464694  0.90708505   -1.76610109  3.73705925  
9.25000000   -2.04462391  1.01455671   -1.70663148  3.67758965  
9.37500000   -1.91070773  1.12920733   -1.63303617  3.60399434  
9.50000000   -1.76207868  1.24967208   -1.54280136  3.51375952  
9.62500000   -1.59813704  1.37376917   -1.43341362  3.40437179  
9.75000000   -1.41861406  1.49836825   -1.30261618  3.27357435  
9.87500000   -1.22369480  1.61934048   -1.14876140  3.11971957  
10.00000000  -1.01413891  1.73165203   -0.97123508  2.94219324  
10.12500000  -0.79137770  1.82965798   -0.77088781  2.74184597  
10.25000000  -0.55756042  1.90761979   -0.55036632  2.52132448  
10.37500000  -0.31552373  1.96040412   -0.31421652  2.28517468  
10.50000000  -0.06866845  1.98423860   -0.06865496  2.03961313  
10.62500000  0.17925208   1.97733937   0.17901219   1.79194597  
10.75000000  0.42440441   1.94022798   0.42122644   1.54973173  
10.87500000  0.66316166   1.87563748   0.65107631   1.31988186  
11.00000000  0.89235363   1.78803776   0.86303958   1.10791859  
11.12500000  1.10944108   1.68292617   1.05341153   0.91754664  
11.25000000  1.31259663   1.56607695   1.22037671   0.75058145  
11.37500000  1.50069830   1.44291289   1.36378838   0.60716979  
11.50000000  1.67325699   1.31808701   1.48477707   0.48618109  
11.62500000  1.83030573   1.19528386   1.58531159   0.38564658  
11.75000000  1.97227575   1.07719785   1.66780128   0.30315688  
11.87500000  2.09987769   0.96562689   1.73478559   0.23617258  
12.00000000  2.21399858   0.86162321   1.78872071   0.18223745  
12.12500000  2.31561905   0.76565878   1.83185233   0.13910583  
12.25000000  2.40575056   0.67777928   1.86615422   0.10480394  
12.37500000  2.48539056   0.59773418   1.89331196   0.07764620  
12.50000000  2.55549219   0.52507953   1.91473440   0.05622377  
12.62500000  2.61694512   0.45925508   1.93157995   0.03937822  
12.75000000  2.67056470   0.39963957   1.94478907   0.02616909  
12.87500000  2.71708687   0.34558868   1.95511759   0.01584057  
13.00000000  2.75716693   0.29645981   1.96316783   0.00779034  
13.12500000  2.79138080   0.25162718   1.96941618   0.00154198  
13.25000000  2.82022766   0.21048996   1.97423664   -0.00327847 
13.37500000  2.84413337   0.17247566   1.97792024   -0.00696207 
13.50000000  2.86345399   0.13704015   1.98069087   -0.00973271 
13.62500000  2.87847924   0.10366549   1.98271778   -0.01175962 
13.75000000  2.88943557   0.07185637   1.98412525   -0.01316708 
