Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   2.90000000   -0.00000000  1.98542598   -0.01446782 
0.00500000   2.89940973   -0.01681604  1.98535477   -0.01439660 
0.01000000   2.89763611   -0.03371263  1.98513974   -0.01418158 
0.01500000   2.89467064   -0.05077064  1.98477673   -0.01381857 
0.02000000   2.89049912   -0.06807154  1.98425870   -0.01330054 
0.02500000   2.88510161   -0.08569777  1.98357562   -0.01261745 
0.03000000   2.87845233   -0.10373299  1.98271425   -0.01175608 
0.03500000   2.87051958   -0.12226239  1.98165795   -0.01069979 
0.04000000   2.86126560   -0.14137299  1.98038633   -0.00942816 
0.04500000   2.85064646   -0.16115386  1.97887487   -0.00791671 
0.05000000   2.83861190   -0.18169641  1.97709452   -0.00613636 
0.05500000   2.82510513   -0.20309454  1.97501112   -0.00405296 
0.06000000   2.81006270   -0.22544489  1.97258483   -0.00162667 
0.06500000   2.79341425   -0.24884691  1.96976941   0.00118875  
0.07000000   2.77508234   -0.27340291  1.96651142   0.00444674  
0.07500000   2.75498226   -0.29921809  1.96274931   0.00820885  
0.08000000   2.73302179   -0.32640040  1.95841239   0.01254577  
0.08500000   2.70910106   -0.35506030  1.95341970   0.01753847  
0.09000000   2.68311236   -0.38531035  1.94767869   0.02327948  
0.09500000   2.65494000   -0.41726468  1.94108385   0.02987431  
0.10000000   2.62446026   -0.45103814  1.93351517   0.03744299  
0.10500000   2.59154135   -0.48674523  1.92483646   0.04612170  
0.11000000   2.55604351   -0.52449870  1.91489359   0.05606458  
0.11500000   2.51781914   -0.56440772  1.90351261   0.06744556  
0.12000000   2.47671321   -0.60657563  1.89049791   0.08046026  
0.12500000   2.43256367   -0.65109708  1.87563027   0.09532789  
0.13000000   2.38520226   -0.69805465  1.85866512   0.11229304  
0.13500000   2.33445545   -0.74751465  1.83933091   0.13162726  
0.14000000   2.28014577   -0.79952222  1.81732786   0.15363031  
0.14500000   2.22209347   -0.85409558  1.79232728   0.17863089  
0.15000000   2.16011870   -0.91121933  1.76397156   0.20698661  
0.15500000   2.09404405   -0.97083697  1.73187526   0.23908291  
0.16000000   2.02369779   -1.03284254  1.69562750   0.27533066  
0.16500000   1.94891760   -1.09707160  1.65479613   0.31616204  
0.17000000   1.86955507   -1.16329188  1.60893391   0.36202425  
0.17500000   1.78548075   -1.23119378  1.55758730   0.41337086  
0.18000000   1.69658989   -1.30038156  1.50030801   0.47065015  
0.18500000   1.60280882   -1.37036575  1.43666769   0.53429048  
0.19000000   1.50410167   -1.44055780  1.36627580   0.60468237  
0.19500000   1.40047748   -1.51026803  1.28880053   0.68215763  
0.20000000   1.29199721   -1.57870801  1.20399225   0.76696592  
0.20500000   1.17878045   -1.64499867  1.11170846   0.85924970  
0.21000000   1.06101129   -1.70818488  1.01193910   0.95901907  
0.21500000   0.93894296   -1.76725747  0.90483002   1.06612815  
0.22000000   0.81290062   -1.82118248  0.79070266   1.18025550  
0.22500000   0.68328189   -1.86893717  0.67006731   1.30089086  
0.23000000   0.55055463   -1.90955108  0.54362764   1.42733052  
0.23500000   0.41525172   -1.94214982  0.41227467   1.55868350  
0.24000000   0.27796284   -1.96599827  0.27706886   1.69388931  
0.24500000   0.13932321   -1.98053951  0.13921056   1.83174761  
0.25000000   0.00000000   -1.98542598  0.00000000   1.97095817  
0.25500000   -0.13932321  -1.98053951  -0.13921056  2.11016872  
0.26000000   -0.27796284  -1.96599827  -0.27706886  2.24802702  
0.26500000   -0.41525172  -1.94214982  -0.41227467  2.38323283  
0.27000000   -0.55055463  -1.90955108  -0.54362764  2.51458581  
0.27500000   -0.68328189  -1.86893717  -0.67006731  2.64102547  
0.28000000   -0.81290062  -1.82118248  -0.79070266  2.76166083  
0.28500000   -0.93894296  -1.76725747  -0.90483002  2.87578818  
0.29000000   -1.06101129  -1.70818488  -1.01193910  2.98289726  
0.29500000   -1.17878045  -1.64499867  -1.11170846  3.08266663  
0.30000000   -1.29199721  -1.57870801  -1.20399225  3.17495041  
0.30500000   -1.40047748  -1.51026803  -1.28880053  3.25975870  
0.31000000   -1.50410167  -1.44055780  -1.36627580  3.33723396  
0.31500000   -1.60280882  -1.37036575  -1.43666769  3.40762585  
0.32000000   -1.69658989  -1.30038156  -1.50030801  3.47126618  
0.32500000   -1.78548075  -1.23119378  -1.55758730  3.52854547  
0.33000000   -1.86955507  -1.16329188  -1.60893391  3.57989208  
0.33500000   -1.94891760  -1.09707160  -1.65479613  3.62575429  
0.34000000   -2.02369779  -1.03284254  -1.69562750  3.66658567  
0.34500000   -2.09404405  -0.97083697  -1.73187526  3.70283342  
0.35000000   -2.16011870  -0.91121933  -1.76397156  3.73492972  
0.35500000   -2.22209347  -0.85409558  -1.79232728  3.76328544  
0.36000000   -2.28014577  -0.79952222  -1.81732786  3.78828602  
0.36500000   -2.33445545  -0.74751465  -1.83933091  3.81028907  
0.37000000   -2.38520226  -0.69805465  -1.85866512  3.82962329  
0.37500000   -2.43256367  -0.65109708  -1.87563027  3.84658844  
0.38000000   -2.47671321  -0.60657563  -1.89049791  3.86145607  
0.38500000   -2.51781914  -0.56440772  -1.90351261  3.87447077  
