time         theta        dtheta/dt   
0.00000000   0.00000000   2.05000000  
0.03000000   0.06149078   2.04907786  
0.06000000   0.12292627   2.04631575  
0.09000000   0.18425145   2.04172656  
0.12000000   0.24541180   2.03533160  
0.15000000   0.30635358   2.02716038  
0.18000000   0.36702403   2.01725029  
0.21000000   0.42737165   2.00564617  
0.24000000   0.48734638   1.99239987  
0.27000000   0.54689981   1.97756965  
0.30000000   0.60598536   1.96121965  
0.33000000   0.66455848   1.94341923  
0.36000000   0.72257675   1.92424228  
0.39000000   0.78000003   1.90376654  
0.42000000   0.83679056   1.88207294  
0.45000000   0.89291306   1.85924485  
0.48000000   0.94833476   1.83536744  
0.51000000   1.00302547   1.81052699  
0.54000000   1.05695761   1.78481027  
0.57000000   1.11010619   1.75830395  
0.60000000   1.16244882   1.73109402  
0.63000000   1.21396565   1.70326528  
0.66000000   1.26463938   1.67490091  
0.69000000   1.31445516   1.64608200  
0.72000000   1.36340054   1.61688725  
0.75000000   1.41146539   1.58739261  
0.78000000   1.45864183   1.55767103  
0.81000000   1.50492409   1.52779227  
0.84000000   1.55030846   1.49782271  
0.87000000   1.59479317   1.46782523  
0.90000000   1.63837829   1.43785915  
0.93000000   1.68106559   1.40798016  
0.96000000   1.72285849   1.37824031  
0.99000000   1.76376189   1.34868806  
1.02000000   1.80378210   1.31936830  
1.05000000   1.84292673   1.29032240  
1.08000000   1.88120456   1.26158837  
1.11000000   1.91862549   1.23320089  
1.14000000   1.95520040   1.20519147  
1.17000000   1.99094105   1.17758856  
1.20000000   2.02586003   1.15041772  
1.23000000   2.05997066   1.12370173  
1.26000000   2.09328689   1.09746075  
1.29000000   2.12582323   1.07171249  
1.32000000   2.15759472   1.04647233  
1.35000000   2.18861679   1.02175349  
1.38000000   2.21890525   0.99756717  
1.41000000   2.24847624   0.97392269  
1.44000000   2.27734611   0.95082766  
1.47000000   2.30553145   0.92828806  
1.50000000   2.33304899   0.90630844  
1.53000000   2.35991559   0.88489198  
1.56000000   2.38614816   0.86404066  
1.59000000   2.41176369   0.84375536  
1.62000000   2.43677914   0.82403593  
1.65000000   2.46121149   0.80488137  
1.68000000   2.48507766   0.78628984  
1.71000000   2.50839449   0.76825881  
1.74000000   2.53117876   0.75078513  
1.77000000   2.55344713   0.73386510  
1.80000000   2.57521616   0.71749452  
1.83000000   2.59650225   0.70166884  
1.86000000   2.61732169   0.68638311  
1.89000000   2.63769059   0.67163214  
1.92000000   2.65762491   0.65741049  
1.95000000   2.67714046   0.64371255  
1.98000000   2.69625284   0.63053257  
2.01000000   2.71497753   0.61786472  
2.04000000   2.73332979   0.60570310  
2.07000000   2.75132472   0.59404181  
2.10000000   2.76897724   0.58287497  
2.13000000   2.78630210   0.57219672  
2.16000000   2.80331387   0.56200129  
2.19000000   2.82002695   0.55228301  
2.22000000   2.83645557   0.54303632  
2.25000000   2.85261379   0.53425579  
2.28000000   2.86851553   0.52593618  
2.31000000   2.88417452   0.51807238  
2.34000000   2.89960438   0.51065950  
2.37000000   2.91481855   0.50369284  
2.40000000   2.92983037   0.49716792  
2.43000000   2.94465300   0.49108047  
2.46000000   2.95929953   0.48542647  
2.49000000   2.97378289   0.48020214  
2.52000000   2.98811592   0.47540394  
2.55000000   3.00231135   0.47102860  
2.58000000   3.01638183   0.46707310  
2.61000000   3.03033991   0.46353469  
2.64000000   3.04419806   0.46041092  
2.67000000   3.05796869   0.45769957  
2.70000000   3.07166414   0.45539873  
2.73000000   3.08529670   0.45350678  
2.76000000   3.09887862   0.45202236  
2.79000000   3.11242211   0.45094441  
2.82000000   3.12593934   0.45027216  
2.85000000   3.13944249   0.45000514  
2.88000000   3.15294370   0.45014314  
2.91000000   3.16645513   0.45068627  
2.94000000   3.17998893   0.45163491  
2.97000000   3.19355729   0.45298975  
3.00000000   3.20717239   0.45475176  
3.03000000   3.22084648   0.45692218  
3.06000000   3.23459182   0.45950257  
3.09000000   3.24842075   0.46249475  
3.12000000   3.26234564   0.46590082  
3.15000000   3.27637896   0.46972317  
3.18000000   3.29053322   0.47396447  
3.21000000   3.30482105   0.47862763  
3.24000000   3.31925513   0.48371585  
3.27000000   3.33384828   0.48923258  
3.30000000   3.34861341   0.49518153  
3.33000000   3.36356354   0.50156665  
3.36000000   3.37871181   0.50839212  
3.39000000   3.39407151   0.51566236  
3.42000000   3.40965605   0.52338200  
3.45000000   3.42547897   0.53155587  
3.48000000   3.44155399   0.54018902  
3.51000000   3.45789496   0.54928663  
3.54000000   3.47451589   0.55885410  
3.57000000   3.49143096   0.56889692  
3.60000000   3.50865451   0.57942075  
3.63000000   3.52620107   0.59043133  
3.66000000   3.54408532   0.60193447  
3.69000000   3.56232212   0.61393607  
3.72000000   3.58092653   0.62644203  
3.75000000   3.59991375   0.63945824  
3.78000000   3.61929918   0.65299056  
3.81000000   3.63909840   0.66704477  
3.84000000   3.65932714   0.68162653  
3.87000000   3.68000132   0.69674134  
3.90000000   3.70113701   0.71239447  
3.93000000   3.72275042   0.72859096  
3.96000000   3.74485795   0.74533550  
3.99000000   3.76747608   0.76263240  
4.02000000   3.79062145   0.78048551  
4.05000000   3.81431080   0.79889819  
4.08000000   3.83856097   0.81787317  
4.11000000   3.86338884   0.83741252  
4.14000000   3.88881137   0.85751751  
4.17000000   3.91484555   0.87818857  
4.20000000   3.94150834   0.89942516  
4.23000000   3.96881670   0.92122568  
4.26000000   3.99678750   0.94358733  
4.29000000   4.02543751   0.96650602  
4.32000000   4.05478337   0.98997622  
4.35000000   4.08484153   1.01399087  
4.38000000   4.11562818   1.03854120  
4.41000000   4.14715925   1.06361663  
4.44000000   4.17945031   1.08920461  
4.47000000   4.21251651   1.11529044  
4.50000000   4.24637254   1.14185719  
4.53000000   4.28103256   1.16888548  
4.56000000   4.31651007   1.19635340  
4.59000000   4.35281791   1.22423628  
4.62000000   4.38996812   1.25250661  
4.65000000   4.42797188   1.28113386  
4.68000000   4.46683939   1.31008437  
4.71000000   4.50657980   1.33932123  
4.74000000   4.54720112   1.36880412  
4.77000000   4.58871008   1.39848930  
4.80000000   4.63111203   1.42832945  
4.83000000   4.67441088   1.45827366  
4.86000000   4.71860895   1.48826740  
4.89000000   4.76370684   1.51825251  
4.92000000   4.80970340   1.54816723  
4.95000000   4.85659552   1.57794629  
4.98000000   4.90437813   1.60752099  
5.01000000   4.95304402   1.63681938  
5.04000000   5.00258378   1.66576642  
5.07000000   5.05298571   1.69428428  
5.10000000   5.10423574   1.72229257  
5.13000000   5.15631735   1.74970876  
5.16000000   5.20921150   1.77644849  
5.19000000   5.26289664   1.80242612  
5.22000000   5.31734858   1.82755512  
5.25000000   5.37254059   1.85174869  
5.28000000   5.42844329   1.87492035  
5.31000000   5.48502473   1.89698448  
5.34000000   5.54225044   1.91785707  
5.37000000   5.60008342   1.93745634  
5.40000000   5.65848430   1.95570346  
5.43000000   5.71741136   1.97252324  
5.46000000   5.77682071   1.98784479  
5.49000000   5.83666640   2.00160226  
5.52000000   5.89690060   2.01373543  
5.55000000   5.95747374   2.02419035  
5.58000000   6.01833476   2.03291989  
