time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.00000000   2.60000000   0.00000000   3.38000000  
0.00625000   0.04851510   2.59954741   0.00117663   3.37882337  
0.01250000   0.09701332   2.59819087   0.00470210   3.37529790  
0.01875000   0.14547782   2.59593403   0.01056325   3.36943675  
0.02500000   0.19389185   2.59278298   0.01873821   3.36126179  
0.03125000   0.24223879   2.58874617   0.02919663   3.35080337  
0.03750000   0.29050223   2.58383441   0.04189986   3.33810014  
0.04375000   0.33866594   2.57806079   0.05680128   3.32319872  
0.05000000   0.38671399   2.57144059   0.07384663   3.30615337  
0.05625000   0.43463074   2.56399126   0.09297441   3.28702559  
0.06250000   0.48240089   2.55573226   0.11411632   3.26588368  
0.06875000   0.53000954   2.54668500   0.13719775   3.24280225  
0.07500000   0.57744218   2.53687274   0.16213834   3.21786166  
0.08125000   0.62468477   2.52632046   0.18885248   3.19114752  
0.08750000   0.67172374   2.51505470   0.21724992   3.16275008  
0.09375000   0.71854605   2.50310353   0.24723636   3.13276364  
0.10000000   0.76513918   2.49049632   0.27871404   3.10128596  
0.10625000   0.81149116   2.47726367   0.31158236   3.06841764  
0.11250000   0.85759062   2.46343723   0.34573850   3.03426150  
0.11875000   0.90342678   2.44904963   0.38107797   2.99892203  
0.12500000   0.94898948   2.43413425   0.41749524   2.96250476  
0.13125000   0.99426919   2.41872517   0.45488428   2.92511572  
0.13750000   1.03925702   2.40285699   0.49313913   2.88686087  
0.14375000   1.08394472   2.38656474   0.53215437   2.84784563  
0.15000000   1.12832472   2.36988369   0.57182564   2.80817436  
0.15625000   1.17239008   2.35284930   0.61205009   2.76794991  
0.16250000   1.21613455   2.33549704   0.65272678   2.72727322  
0.16875000   1.25955252   2.31786234   0.69375708   2.68624292  
0.17500000   1.30263905   2.29998044   0.73504498   2.64495502  
0.18125000   1.34538986   2.28188631   0.77649744   2.60350256  
0.18750000   1.38780131   2.26361454   0.81802460   2.56197540  
0.19375000   1.42987040   2.24519929   0.85954008   2.52045992  
0.20000000   1.47159478   2.22667417   0.90096107   2.47903893  
0.20625000   1.51297269   2.20807220   0.94220858   2.43779142  
0.21250000   1.55400301   2.18942574   0.98320747   2.39679253  
0.21875000   1.59468521   2.17076640   1.02388661   2.35611339  
0.22500000   1.63501933   2.15212506   1.06417886   2.31582114  
0.23125000   1.67500599   2.13353174   1.10402115   2.27597885  
0.23750000   1.71464636   2.11501563   1.14335444   2.23664556  
0.24375000   1.75394215   2.09660503   1.18212368   2.19787632  
0.25000000   1.79289558   2.07832731   1.22027780   2.15972220  
0.25625000   1.83150938   2.06020893   1.25776957   2.12223043  
0.26250000   1.86978677   2.04227540   1.29455559   2.08544441  
0.26875000   1.90773141   2.02455127   1.33059607   2.04940393  
0.27500000   1.94534746   2.00706013   1.36585481   2.01414519  
0.28125000   1.98263945   1.98982461   1.40029902   1.97970098  
0.28750000   2.01961237   1.97286637   1.43389914   1.94610086  
0.29375000   2.05627159   1.95620615   1.46662876   1.91337124  
0.30000000   2.09262285   1.93986371   1.49846440   1.88153560  
0.30625000   2.12867226   1.92385791   1.52938537   1.85061463  
0.31250000   2.16442627   1.90820669   1.55937362   1.82062638  
0.31875000   2.19989166   1.89292709   1.58841352   1.79158648  
0.32500000   2.23507551   1.87803528   1.61649175   1.76350825  
0.33125000   2.26998521   1.86354657   1.64359710   1.73640290  
0.33750000   2.30462842   1.84947544   1.66972031   1.71027969  
0.34375000   2.33901305   1.83583556   1.69485390   1.68514610  
0.35000000   2.37314727   1.82263983   1.71899202   1.66100798  
0.35625000   2.40703949   1.80990037   1.74213032   1.63786968  
0.36250000   2.44069833   1.79762858   1.76426574   1.61573426  
0.36875000   2.47413262   1.78583514   1.78539642   1.59460358  
0.37500000   2.50735137   1.77453007   1.80552152   1.57447848  
0.38125000   2.54036379   1.76372270   1.82464113   1.55535887  
0.38750000   2.57317925   1.75342174   1.84275610   1.53724390  
0.39375000   2.60580728   1.74363531   1.85986795   1.52013205  
0.40000000   2.63825754   1.73437093   1.87597875   1.50402125  
0.40625000   2.67053985   1.72563554   1.89109099   1.48890901  
0.41250000   2.70266414   1.71743557   1.90520753   1.47479247  
0.41875000   2.73464045   1.70977692   1.91833144   1.46166856  
0.42500000   2.76647894   1.70266499   1.93046596   1.44953404  
0.43125000   2.79818985   1.69610470   1.94161442   1.43838558  
0.43750000   2.82978352   1.69010052   1.95178012   1.42821988  
0.44375000   2.86127038   1.68465645   1.96096633   1.41903367  
0.45000000   2.89266089   1.67977608   1.96917616   1.41082384  
0.45625000   2.92396563   1.67546259   1.97641255   1.40358745  
0.46250000   2.95519517   1.67171874   1.98267823   1.39732177  
0.46875000   2.98636019   1.66854690   1.98797562   1.39202438  
0.47500000   3.01747138   1.66594908   1.99230684   1.38769316  
0.48125000   3.04853945   1.66392688   1.99567367   1.38432633  
0.48750000   3.07957517   1.66248156   1.99807753   1.38192247  
0.49375000   3.11058931   1.66161401   1.99951943   1.38048057  
0.50000000   3.14159265   1.66132477   2.00000000   1.38000000  
0.50625000   3.17259600   1.66161401   1.99951943   1.38048057  
0.51250000   3.20361014   1.66248156   1.99807753   1.38192247  
0.51875000   3.23464586   1.66392688   1.99567367   1.38432633  
0.52500000   3.26571393   1.66594908   1.99230684   1.38769316  
0.53125000   3.29682511   1.66854690   1.98797562   1.39202438  
