time         theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
0.00000000   0.00000000   3.50000000   0.00000000   6.12500000  
0.03000000   0.10498426   3.49842656   0.00550579   6.11949421  
0.06000000   0.20987430   3.49372498   0.02194289   6.10305711  
0.09000000   0.31457702   3.48595104   0.04907266   6.07592734  
0.12000000   0.41900155   3.47519657   0.08650438   6.03849562  
0.15000000   0.52306026   3.46158765   0.13370546   5.99129454  
0.18000000   0.62666983   3.44528227   0.19001502   5.93498498  
0.21000000   0.72975210   3.42646748   0.25466030   5.87033970  
0.24000000   0.83223491   3.40535604   0.32677513   5.79822487  
0.27000000   0.93405283   3.38218280   0.40541975   5.71958025  
0.30000000   1.03514778   3.35720087   0.48960115   5.63539885  
0.33000000   1.13546947   3.33067765   0.57829320   5.54670680  
0.36000000   1.23497580   3.30289085   0.67045603   5.45454397  
0.39000000   1.33363313   3.27412467   0.76505382   5.35994618  
0.42000000   1.43141636   3.24466612   0.86107088   5.26392912  
0.45000000   1.52830903   3.21480155   0.95752549   5.16747451  
0.48000000   1.62430322   3.18481354   1.05348137   5.07151863  
0.51000000   1.71939937   3.15497806   1.14805672   4.97694328  
0.54000000   1.81360610   3.12556205   1.24043093   4.88456907  
0.57000000   1.90693985   3.09682130   1.32984891   4.79515109  
0.60000000   1.99942457   3.06899869   1.41562353   4.70937647  
0.63000000   2.09109125   3.04232278   1.49713605   4.62786395  
0.66000000   2.18197754   3.01700672   1.57383524   4.55116476  
0.69000000   2.27212722   2.99324739   1.64523504   4.47976496  
0.72000000   2.36158975   2.97122483   1.71091150   4.41408850  
0.75000000   2.45041972   2.95110187   1.77049887   4.35450113  
0.78000000   2.53867632   2.93302389   1.82368542   4.30131458  
0.81000000   2.62642288   2.91711875   1.87020909   4.25479091  
0.84000000   2.71372629   2.90349681   1.90985313   4.21514687  
0.87000000   2.80065646   2.89225101   1.94244204   4.18255796  
0.90000000   2.88728587   2.88345698   1.96783792   4.15716208  
0.93000000   2.97368899   2.87717317   1.98593726   4.13906274  
0.96000000   3.05994178   2.87344100   1.99666842   4.12833158  
0.99000000   3.14612121   2.87228489   1.99998975   4.12501025  
1.02000000   3.23230472   2.87371241   1.99588848   4.12911152  
1.05000000   3.31856971   2.87771423   1.98438039   4.14061961  
1.08000000   3.40499306   2.88426413   1.96551022   4.15948978  
1.11000000   3.49165061   2.89331891   1.93935284   4.18564716  
1.14000000   3.57861664   2.90481832   1.90601525   4.21898475  
1.17000000   3.66596339   2.91868492   1.86563917   4.25936083  
1.20000000   3.75376047   2.93482394   1.81840422   4.30659578  
1.23000000   3.84207443   2.95312318   1.76453173   4.36046827  
1.26000000   3.93096817   2.97345295   1.70428878   4.42071122  
1.29000000   4.02050045   2.99566601   1.63799257   4.48700743  
1.32000000   4.11072532   3.01959773   1.56601477   4.55898523  
1.35000000   4.20169168   3.04506628   1.48878569   4.63621431  
1.38000000   4.29344269   3.07187301   1.40679810   4.71820190  
1.41000000   4.38601530   3.09980314   1.32061025   4.80438975  
1.44000000   4.47943981   3.12862653   1.23084803   4.89415197  
1.47000000   4.57373939   3.15809886   1.13820579   4.98679421  
1.50000000   4.66892967   3.18796310   1.04344563   5.08155437  
1.53000000   4.76501842   3.21795126   0.94739486   5.17760514  
1.56000000   4.86200522   3.24778653   0.85094133   5.27405867  
1.59000000   4.95988125   3.27718581   0.75502659   5.36997341  
1.62000000   5.05862914   3.30586252   0.66063650   5.46436350  
1.65000000   5.15822291   3.33352979   0.56878956   5.55621044  
1.68000000   5.25862799   3.35990393   0.48052279   5.64447721  
1.71000000   5.35980144   3.38470811   0.39687552   5.72812448  
1.74000000   5.46169212   3.40767625   0.31887129   5.80612871  
1.77000000   5.56424113   3.42855699   0.24749849   5.87750151  
1.80000000   5.66738233   3.44711761   0.18369010   5.94130990  
1.83000000   5.77104288   3.46314788   0.12830338   5.99669662  
1.86000000   5.87514404   3.47646367   0.08210017   6.04289983  
1.89000000   5.97960199   3.48691021   0.04572858   6.07927142  
1.92000000   6.08432873   3.49436492   0.01970690   6.10529310  
1.95000000   6.18923308   3.49873970   0.00441027   6.12058973  
1.98000000   6.29422178   3.49998260   0.00006090   6.12493910  
2.01000000   6.39920055   3.49807884   0.00672222   6.11827778  
2.04000000   6.50407526   3.49305106   0.02429715   6.10070285  
2.07000000   6.60875296   3.48495891   0.05253068   6.07246932  
2.10000000   6.71314309   3.47389791   0.09101665   6.03398335  
2.13000000   6.81715843   3.45999761   0.13920828   5.98579172  
2.16000000   6.92071616   3.44341920   0.19643212   5.92856788  
2.19000000   7.02373869   3.42435258   0.26190470   5.86309530  
2.22000000   7.12615457   3.40301303   0.33475116   5.79024884  
2.25000000   7.22789911   3.37963750   0.41402518   5.71097482  
2.28000000   7.32891501   3.35448078   0.49872934   5.62627066  
2.31000000   7.42915283   3.32781154   0.58783519   5.53716481  
2.34000000   7.52857136   3.29990835   0.68030244   5.44469756  
2.37000000   7.62713784   3.27105589   0.77509670   5.34990330  
2.40000000   7.72482809   3.24154123   0.87120522   5.25379478  
2.43000000   7.82162655   3.21165049   0.96765056   5.15734944  
2.46000000   7.91752618   3.18166567   1.06350179   5.06149821  
2.49000000   8.01252830   3.15186190   1.15788327   4.96711673  
2.52000000   8.10664237   3.12250505   1.24998110   4.87501890  
2.55000000   8.19988563   3.09384962   1.33904726   4.78595274  
2.58000000   8.29228278   3.06613705   1.42440181   4.70059819  
2.61000000   8.38386555   3.03959432   1.50543318   4.61956682  
2.64000000   8.47467226   3.01443291   1.58159710   4.54340290  
2.67000000   8.56474730   2.99084796   1.65241423   4.47258577  
2.70000000   8.65414069   2.96901772   1.71746690   4.40753310  
