time         theta        dtheta/dt   
0.00000000   0.00000000   4.00000000  
0.00836120   0.05637774   3.99960278  
0.01672241   0.11274430   3.99841246  
0.02508361   0.16908850   3.99643305  
0.03344482   0.22539929   3.99367123  
0.04180602   0.28166569   3.99013628  
0.05016722   0.33787688   3.98584008  
0.05852843   0.39402223   3.98079700  
0.06688963   0.45009134   3.97502387  
0.07525084   0.50607404   3.96853987  
0.08361204   0.56196047   3.96136646  
0.09197324   0.61774106   3.95352726  
0.10033445   0.67340662   3.94504795  
0.10869565   0.72894832   3.93595613  
0.11705686   0.78435772   3.92628122  
0.12541806   0.83962683   3.91605431  
0.13377926   0.89474809   3.90530801  
0.14214047   0.94971442   3.89407636  
0.15050167   1.00451923   3.88239462  
0.15886288   1.05915642   3.87029916  
0.16722408   1.11362044   3.85782731  
0.17558528   1.16790623   3.84501721  
0.18394649   1.22200932   3.83190765  
0.19230769   1.27592574   3.81853795  
0.20066890   1.32965212   3.80494780  
0.20903010   1.38318563   3.79117714  
0.21739130   1.43652401   3.77726600  
0.22575251   1.48966555   3.76325439  
0.23411371   1.54260913   3.74918217  
0.24247492   1.59535417   3.73508892  
0.25083612   1.64790065   3.72101386  
0.25919732   1.70024909   3.70699568  
0.26755853   1.75240058   3.69307252  
0.27591973   1.80435671   3.67928181  
0.28428094   1.85611961   3.66566019  
0.29264214   1.90769192   3.65224348  
0.30100334   1.95907677   3.63906652  
0.30936455   2.01027778   3.62616319  
0.31772575   2.06129904   3.61356627  
0.32608696   2.11214510   3.60130744  
0.33444816   2.16282093   3.58941717  
0.34280936   2.21333194   3.57792473  
0.35117057   2.26368393   3.56685812  
0.35953177   2.31388310   3.55624403  
0.36789298   2.36393601   3.54610783  
0.37625418   2.41384955   3.53647351  
0.38461538   2.46363097   3.52736367  
0.39297659   2.51328781   3.51879950  
0.40133779   2.56282790   3.51080078  
0.40969900   2.61225934   3.50338582  
0.41806020   2.66159049   3.49657149  
0.42642140   2.71082991   3.49037318  
0.43478261   2.75998639   3.48480483  
0.44314381   2.80906889   3.47987887  
0.45150502   2.85808656   3.47560625  
0.45986622   2.90704867   3.47199642  
0.46822742   2.95596462   3.46905736  
0.47658863   3.00484390   3.46679551  
0.48494983   3.05369611   3.46521584  
0.49331104   3.10253089   3.46432181  
