theta0       T/T0         omega/omega0
0.00000000   1.00000000   1.00000000  
0.01570796   1.00001542   0.99998458  
0.03141593   1.00006169   0.99993832  
0.04712389   1.00013881   0.99986121  
0.06283185   1.00024680   0.99975326  
0.07853982   1.00038567   0.99961448  
0.09424778   1.00055545   0.99944486  
0.10995574   1.00075617   0.99924441  
0.12566371   1.00098785   0.99901312  
0.14137167   1.00125055   0.99875101  
0.15707963   1.00154431   0.99845807  
0.17278760   1.00186917   0.99813432  
0.18849556   1.00222519   0.99777975  
0.20420352   1.00261244   0.99739437  
0.21991149   1.00303097   0.99697819  
0.23561945   1.00348086   0.99653122  
0.25132741   1.00396219   0.99605345  
0.26703538   1.00447504   0.99554490  
0.28274334   1.00501949   0.99500558  
0.29845130   1.00559565   0.99443549  
0.31415927   1.00620361   0.99383464  
0.32986723   1.00684348   0.99320304  
0.34557519   1.00751536   0.99254070  
0.36128316   1.00821938   0.99184763  
0.37699112   1.00895565   0.99112384  
0.39269908   1.00972431   0.99036934  
0.40840704   1.01052549   0.98958414  
0.42411501   1.01135933   0.98876825  
0.43982297   1.01222598   0.98792169  
0.45553093   1.01312559   0.98704446  
0.47123890   1.01405832   0.98613657  
0.48694686   1.01502434   0.98519805  
0.50265482   1.01602381   0.98422890  
0.51836279   1.01705692   0.98322914  
0.53407075   1.01812385   0.98219877  
0.54977871   1.01922480   0.98113782  
0.56548668   1.02035996   0.98004630  
0.58119464   1.02152954   0.97892421  
0.59690260   1.02273375   0.97777159  
0.61261057   1.02397281   0.97658843  
0.62831853   1.02524696   0.97537476  
0.64402649   1.02655642   0.97413058  
0.65973446   1.02790143   0.97285593  
0.67544242   1.02928225   0.97155080  
0.69115038   1.03069914   0.97021522  
0.70685835   1.03215237   0.96884921  
0.72256631   1.03364219   0.96745277  
0.73827427   1.03516891   0.96602592  
0.75398224   1.03673281   0.96456869  
0.76969020   1.03833418   0.96308108  
0.78539816   1.03997334   0.96156311  
0.80110613   1.04165061   0.96001480  
0.81681409   1.04336631   0.95843616  
0.83252205   1.04512078   0.95682721  
0.84823002   1.04691436   0.95518797  
0.86393798   1.04874741   0.95351844  
0.87964594   1.05062030   0.95181866  
0.89535391   1.05253339   0.95008862  
0.91106187   1.05448708   0.94832835  
0.92676983   1.05648177   0.94653787  
0.94247780   1.05851786   0.94471718  
0.95818576   1.06059576   0.94286630  
0.97389372   1.06271592   0.94098524  
0.98960169   1.06487878   0.93907403  
1.00530965   1.06708478   0.93713266  
1.02101761   1.06933440   0.93516116  
1.03672558   1.07162812   0.93315954  
1.05243354   1.07396643   0.93112780  
1.06814150   1.07634983   0.92906597  
1.08384947   1.07877886   0.92697404  
1.09955743   1.08125403   0.92485204  
1.11526539   1.08377591   0.92269997  
1.13097336   1.08634505   0.92051784  
1.14668132   1.08896204   0.91830565  
1.16238928   1.09162748   0.91606342  
1.17809725   1.09434196   0.91379115  
1.19380521   1.09710613   0.91148884  
1.20951317   1.09992063   0.90915651  
1.22522113   1.10278613   0.90679414  
1.24092910   1.10570330   0.90440175  
1.25663706   1.10867285   0.90197934  
1.27234502   1.11169549   0.89952690  
1.28805299   1.11477198   0.89704443  
1.30376095   1.11790307   0.89453194  
1.31946891   1.12108955   0.89198940  
1.33517688   1.12433222   0.88941683  
1.35088484   1.12763191   0.88681421  
1.36659280   1.13098947   0.88418153  
1.38230077   1.13440579   0.88151878  
