W0/w0        W0/2w0       T/T0         omega/omega0 Wmin/omega0 
2.00100000   1.00050000   1.54032932   0.64921182   0.06325346  
2.02100000   1.01050000   1.05144323   0.95107370   0.29058734  
2.04100000   1.02050000   0.94163293   1.06198495   0.40703931  
2.06100000   1.03050000   0.87550717   1.14219510   0.49771578  
2.08100000   1.04050000   0.82777211   1.20806197   0.57494435  
2.10100000   1.05050000   0.79026858   1.26539258   0.64358449  
2.12100000   1.06050000   0.75930912   1.31698669   0.70614517  
2.14100000   1.07050000   0.73290745   1.36442875   0.76412106  
2.16100000   1.08050000   0.70986908   1.40871047   0.81848702  
2.18100000   1.09050000   0.68941868   1.45049739   0.86992011  
2.20100000   1.10050000   0.67102398   1.49025970   0.91891294  
2.22100000   1.11050000   0.65430344   1.52834288   0.96583694  
2.24100000   1.12050000   0.63897401   1.56500888   1.01098022  
2.26100000   1.13050000   0.62481982   1.60046140   1.05457148  
2.28100000   1.14050000   0.61167234   1.63486223   1.09679579  
2.30100000   1.15050000   0.59939743   1.66834216   1.13780534  
2.32100000   1.16050000   0.58788652   1.70100856   1.17772705  
2.34100000   1.17050000   0.57705046   1.73295071   1.21666799  
2.36100000   1.18050000   0.56681511   1.76424371   1.25471949  
2.38100000   1.19050000   0.55711815   1.79495140   1.29196014  
2.40100000   1.20050000   0.54790663   1.82512850   1.32845813  
2.42100000   1.21050000   0.53913521   1.85482229   1.36427307  
2.44100000   1.22050000   0.53076473   1.88407396   1.39945739  
2.46100000   1.23050000   0.52276113   1.91291957   1.43405753  
2.48100000   1.24050000   0.51509461   1.94139092   1.46811478  
2.50100000   1.25050000   0.50773891   1.96951619   1.50166607  
2.52100000   1.26050000   0.50067078   1.99732047   1.53474460  
2.54100000   1.27050000   0.49386955   2.02482621   1.56738030  
2.56100000   1.28050000   0.48731672   2.05205356   1.59960026  
2.58100000   1.29050000   0.48099569   2.07902071   1.63142913  
2.60100000   1.30050000   0.47489151   2.10574412   1.66288935  
2.62100000   1.31050000   0.46899064   2.13223873   1.69400148  
2.64100000   1.32050000   0.46328079   2.15851817   1.72478433  
2.66100000   1.33050000   0.45775078   2.18459485   1.75525525  
2.68100000   1.34050000   0.45239039   2.21048019   1.78543020  
2.70100000   1.35050000   0.44719026   2.23618464   1.81532394  
2.72100000   1.36050000   0.44214180   2.26171784   1.84495013  
2.74100000   1.37050000   0.43723709   2.28708868   1.87432148  
2.76100000   1.38050000   0.43246883   2.31230539   1.90344976  
2.78100000   1.39050000   0.42783026   2.33737558   1.93234598  
2.80100000   1.40050000   0.42331513   2.36230632   1.96102040  
2.82100000   1.41050000   0.41891761   2.38710420   1.98948260  
2.84100000   1.42050000   0.41463232   2.41177536   2.01774156  
2.86100000   1.43050000   0.41045419   2.43632550   2.04580571  
2.88100000   1.44050000   0.40637852   2.46075998   2.07368296  
2.90100000   1.45050000   0.40240092   2.48508380   2.10138074  
2.92100000   1.46050000   0.39851725   2.50930167   2.12890606  
2.94100000   1.47050000   0.39472365   2.53341799   2.15626552  
2.96100000   1.48050000   0.39101649   2.55743691   2.18346536  
2.98100000   1.49050000   0.38739234   2.58136231   2.21051148  
3.00100000   1.50050000   0.38384800   2.60519789   2.23740944  
3.02100000   1.51050000   0.38038042   2.62894710   2.26416453  
3.04100000   1.52050000   0.37698674   2.65261323   2.29078174  
3.06100000   1.53050000   0.37366424   2.67619936   2.31726585  
3.08100000   1.54050000   0.37041037   2.69970843   2.34362134  
3.10100000   1.55050000   0.36722270   2.72314321   2.36985253  
3.12100000   1.56050000   0.36409892   2.74650635   2.39596348  
3.14100000   1.57050000   0.36103685   2.76980033   2.42195809  
3.16100000   1.58050000   0.35803442   2.79302753   2.44784007  
3.18100000   1.59050000   0.35508965   2.81619022   2.47361294  
3.20100000   1.60050000   0.35220066   2.83929053   2.49928010  
3.22100000   1.61050000   0.34936566   2.86233052   2.52484475  
3.24100000   1.62050000   0.34658295   2.88531213   2.55030998  
3.26100000   1.63050000   0.34385091   2.90823722   2.57567875  
3.28100000   1.64050000   0.34116796   2.93110757   2.60095386  
3.30100000   1.65050000   0.33853264   2.95392488   2.62613804  
3.32100000   1.66050000   0.33594353   2.97669077   2.65123386  
3.34100000   1.67050000   0.33339926   2.99940678   2.67624382  
3.36100000   1.68050000   0.33089854   3.02207440   2.70117030  
3.38100000   1.69050000   0.32844012   3.04469505   2.72601559  
3.40100000   1.70050000   0.32602281   3.06727009   2.75078189  
3.42100000   1.71050000   0.32364546   3.08980083   2.77547131  
3.44100000   1.72050000   0.32130697   3.11228852   2.80008589  
3.46100000   1.73050000   0.31900630   3.13473436   2.82462759  
3.48100000   1.74050000   0.31674242   3.15713951   2.84909828  
3.50100000   1.75050000   0.31451436   3.17950506   2.87349978  
3.52100000   1.76050000   0.31232119   3.20183210   2.89783385  
3.54100000   1.77050000   0.31016200   3.22412164   2.92210215  
3.56100000   1.78050000   0.30803592   3.24637467   2.94630633  
3.58100000   1.79050000   0.30594212   3.26859214   2.97044795  
3.60100000   1.80050000   0.30387979   3.29077497   2.99452851  
3.62100000   1.81050000   0.30184815   3.31292404   3.01854949  
3.64100000   1.82050000   0.29984646   3.33504019   3.04251228  
3.66100000   1.83050000   0.29787399   3.35712425   3.06641827  
3.68100000   1.84050000   0.29593004   3.37917701   3.09026876  
3.70100000   1.85050000   0.29401394   3.40119922   3.11406503  
3.72100000   1.86050000   0.29212504   3.42319163   3.13780831  
3.74100000   1.87050000   0.29026271   3.44515495   3.16149980  
3.76100000   1.88050000   0.28842633   3.46708987   3.18514066  
3.78100000   1.89050000   0.28661532   3.48899704   3.20873199  
