theta        omega       
-6.28318531  2.80000000  
-5.96818884  2.78232888  
-5.65713215  2.73148246  
-5.35343009  2.65263787  
-5.05979704  2.55354126  
-4.72544046  2.42187082  
-4.40892043  2.28951569  
-4.10946655  2.16921949  
-3.82485310  2.07084651  
-3.55157844  2.00134055  
-3.28542975  1.96477552  
-3.02188453  1.96314445  
-2.75623549  1.99656439  
-2.48385046  2.06319426  
-2.20041402  2.15919070  
-1.90242119  2.27794881  
-1.58752146  2.40978139  
-1.25467039  2.54235051  
-0.90486882  2.66014378  
-0.54106314  2.74840443  
-0.16801730  2.79504734  
0.20800541   2.79231305  
0.58025332   2.74117039  
0.94280508   2.64884259  
1.29099039   2.52816910  
1.62182103   2.39521969  
1.93483297   2.26431751  
2.23112260   2.14767859  
2.51317573   2.05456475  
2.78467357   1.99131989  
3.04992921   1.96158062  
3.31351572   1.96694052  
3.58013597   2.00713757  
3.85436473   2.07994560  
4.14040930   2.18103320  
4.44159228   2.30324042  
4.76000105   2.43627609  
5.09634681   2.56725382  
5.44921135   2.68039597  
5.81525815   2.76120037  
6.18941286   2.79846392  
6.25003304   2.79983717  
6.31066874   2.79989855  
